"id","slug","title","difficulty","content"
"1","two-sum","Two Sum","Easy","Given an array of integers `nums` and an integer `target`, return _indices of the two numbers such that they add up to `target`_._x000D_
_x000D_
You may assume that each input would have **_exactly_ one solution**, and you may not use the _same_ element twice._x000D_
_x000D_
You can return the answer in any order._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** nums = \[2,7,11,15\], target = 9_x000D_
**Output:** \[0,1\]_x000D_
**Explanation:** Because nums\[0\] + nums\[1\] == 9, we return \[0, 1\]._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** nums = \[3,2,4\], target = 6_x000D_
**Output:** \[1,2\]_x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** nums = \[3,3\], target = 6_x000D_
**Output:** \[0,1\]_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `2 <= nums.length <= 104`_x000D_
*   `-109 <= nums[i] <= 109`_x000D_
*   `-109 <= target <= 109`_x000D_
*   **Only one valid answer exists.**_x000D_
_x000D_
**Follow-up:** Can you come up with an algorithm that is less than `O(n2)` time complexity?"
"2","add-two-numbers","Add Two Numbers","Medium","You are given two **non-empty** linked lists representing two non-negative integers. The digits are stored in **reverse order**, and each of their nodes contains a single digit. Add the two numbers and return the sum as a linked list._x000D_
_x000D_
You may assume the two numbers do not contain any leading zero, except the number 0 itself._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** l1 = \[2,4,3\], l2 = \[5,6,4\]_x000D_
**Output:** \[7,0,8\]_x000D_
**Explanation:** 342 + 465 = 807._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** l1 = \[0\], l2 = \[0\]_x000D_
**Output:** \[0\]_x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** l1 = \[9,9,9,9,9,9,9\], l2 = \[9,9,9,9\]_x000D_
**Output:** \[8,9,9,9,0,0,0,1\]_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   The number of nodes in each linked list is in the range `[1, 100]`._x000D_
*   `0 <= Node.val <= 9`_x000D_
*   It is guaranteed that the list represents a number that does not have leading zeros."
"3","longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","Given a string `s`, find the length of the **longest** **substring** without repeating characters._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** s =  ""abcabcbb ""_x000D_
**Output:** 3_x000D_
**Explanation:** The answer is  ""abc "", with the length of 3._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** s =  ""bbbbb ""_x000D_
**Output:** 1_x000D_
**Explanation:** The answer is  ""b "", with the length of 1._x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** s =  ""pwwkew ""_x000D_
**Output:** 3_x000D_
**Explanation:** The answer is  ""wke "", with the length of 3._x000D_
Notice that the answer must be a substring,  ""pwke "" is a subsequence and not a substring._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `0 <= s.length <= 5 * 104`_x000D_
*   `s` consists of English letters, digits, symbols and spaces."
"4","median-of-two-sorted-arrays","Median of Two Sorted Arrays","Hard","Given two sorted arrays `nums1` and `nums2` of size `m` and `n` respectively, return **the median** of the two sorted arrays._x000D_
_x000D_
The overall run time complexity should be `O(log (m+n))`._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** nums1 = \[1,3\], nums2 = \[2\]_x000D_
**Output:** 2.00000_x000D_
**Explanation:** merged array = \[1,2,3\] and median is 2._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** nums1 = \[1,2\], nums2 = \[3,4\]_x000D_
**Output:** 2.50000_x000D_
**Explanation:** merged array = \[1,2,3,4\] and median is (2 + 3) / 2 = 2.5._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `nums1.length == m`_x000D_
*   `nums2.length == n`_x000D_
*   `0 <= m <= 1000`_x000D_
*   `0 <= n <= 1000`_x000D_
*   `1 <= m + n <= 2000`_x000D_
*   `-106 <= nums1[i], nums2[i] <= 106`"
"5","longest-palindromic-substring","Longest Palindromic Substring","Medium","Given a string `s`, return _the longest_ _palindromic_ _substring_ in `s`._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** s =  ""babad ""_x000D_
**Output:**  ""bab ""_x000D_
**Explanation:**  ""aba "" is also a valid answer._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** s =  ""cbbd ""_x000D_
**Output:**  ""bb ""_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= s.length <= 1000`_x000D_
*   `s` consist of only digits and English letters."
"6","zigzag-conversion","Zigzag Conversion","Medium","The string `""PAYPALISHIRING ""` is written in a zigzag pattern on a given number of rows like this: (you may want to display this pattern in a fixed font for better legibility)_x000D_
_x000D_
P   A   H   N_x000D_
A P L S I I G_x000D_
Y   I   R_x000D_
_x000D_
And then read line by line: `""PAHNAPLSIIGYIR ""`_x000D_
_x000D_
Write the code that will take a string and make this conversion given a number of rows:_x000D_
_x000D_
string convert(string s, int numRows);_x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** s =  ""PAYPALISHIRING "", numRows = 3_x000D_
**Output:**  ""PAHNAPLSIIGYIR ""_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** s =  ""PAYPALISHIRING "", numRows = 4_x000D_
**Output:**  ""PINALSIGYAHRPI ""_x000D_
**Explanation:**_x000D_
P     I    N_x000D_
A   L S  I G_x000D_
Y A   H R_x000D_
P     I_x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** s =  ""A "", numRows = 1_x000D_
**Output:**  ""A ""_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= s.length <= 1000`_x000D_
*   `s` consists of English letters (lower-case and upper-case), `','` and `'.'`._x000D_
*   `1 <= numRows <= 1000`"
"7","reverse-integer","Reverse Integer","Medium","Given a signed 32-bit integer `x`, return `x` _with its digits reversed_. If reversing `x` causes the value to go outside the signed 32-bit integer range `[-231, 231 - 1]`, then return `0`._x000D_
_x000D_
**Assume the environment does not allow you to store 64-bit integers (signed or unsigned).**_x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** x = 123_x000D_
**Output:** 321_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** x = -123_x000D_
**Output:** -321_x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** x = 120_x000D_
**Output:** 21_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `-231 <= x <= 231 - 1`"
"8","string-to-integer-atoi","String to Integer (atoi)","Medium","Implement the `myAtoi(string s)` function, which converts a string to a 32-bit signed integer (similar to C/C++'s `atoi` function)._x000D_
_x000D_
The algorithm for `myAtoi(string s)` is as follows:_x000D_
_x000D_
1.  Read in and ignore any leading whitespace._x000D_
2.  Check if the next character (if not already at the end of the string) is `'-'` or `'+'`. Read this character in if it is either. This determines if the final result is negative or positive respectively. Assume the result is positive if neither is present._x000D_
3.  Read in next the characters until the next non-digit character or the end of the input is reached. The rest of the string is ignored._x000D_
4.  Convert these digits into an integer (i.e. `""123 "" -> 123`, `""0032 "" -> 32`). If no digits were read, then the integer is `0`. Change the sign as necessary (from step 2)._x000D_
5.  If the integer is out of the 32-bit signed integer range `[-231, 231 - 1]`, then clamp the integer so that it remains in the range. Specifically, integers less than `-231` should be clamped to `-231`, and integers greater than `231 - 1` should be clamped to `231 - 1`._x000D_
6.  Return the integer as the final result._x000D_
_x000D_
**Note:**_x000D_
_x000D_
*   Only the space character `' '` is considered a whitespace character._x000D_
*   **Do not ignore** any characters other than the leading whitespace or the rest of the string after the digits._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** s =  ""42 ""_x000D_
**Output:** 42_x000D_
**Explanation:** The underlined characters are what is read in, the caret is the current reader position._x000D_
Step 1:  ""42 "" (no characters read because there is no leading whitespace)_x000D_
         ^_x000D_
Step 2:  ""42 "" (no characters read because there is neither a '-' nor '+')_x000D_
         ^_x000D_
Step 3:  ""42 "" ( ""42 "" is read in)_x000D_
           ^_x000D_
The parsed integer is 42._x000D_
Since 42 is in the range \[-231, 231 - 1\], the final result is 42._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** s =  ""   -42 ""_x000D_
**Output:** -42_x000D_
**Explanation:**_x000D_
Step 1:  ""   \-42 "" (leading whitespace is read and ignored)_x000D_
            ^_x000D_
Step 2:  ""   \-42 "" ('-' is read, so the result should be negative)_x000D_
             ^_x000D_
Step 3:  ""   -42 "" ( ""42 "" is read in)_x000D_
               ^_x000D_
The parsed integer is -42._x000D_
Since -42 is in the range \[-231, 231 - 1\], the final result is -42._x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** s =  ""4193 with words ""_x000D_
**Output:** 4193_x000D_
**Explanation:**_x000D_
Step 1:  ""4193 with words "" (no characters read because there is no leading whitespace)_x000D_
         ^_x000D_
Step 2:  ""4193 with words "" (no characters read because there is neither a '-' nor '+')_x000D_
         ^_x000D_
Step 3:  ""4193 with words "" ( ""4193 "" is read in; reading stops because the next character is a non-digit)_x000D_
             ^_x000D_
The parsed integer is 4193._x000D_
Since 4193 is in the range \[-231, 231 - 1\], the final result is 4193._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `0 <= s.length <= 200`_x000D_
*   `s` consists of English letters (lower-case and upper-case), digits (`0-9`), `' '`, `'+'`, `'-'`, and `'.'`."
"9","palindrome-number","Palindrome Number","Easy","Given an integer `x`, return `true` _if_ `x` _is a_ _**palindrome**__, and_ `false` _otherwise_._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** x = 121_x000D_
**Output:** true_x000D_
**Explanation:** 121 reads as 121 from left to right and from right to left._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** x = -121_x000D_
**Output:** false_x000D_
**Explanation:** From left to right, it reads -121. From right to left, it becomes 121-. Therefore it is not a palindrome._x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** x = 10_x000D_
**Output:** false_x000D_
**Explanation:** Reads 01 from right to left. Therefore it is not a palindrome._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `-231 <= x <= 231 - 1`_x000D_
_x000D_
**Follow up:** Could you solve it without converting the integer to a string?"
"10","regular-expression-matching","Regular Expression Matching","Hard","Given an input string `s` and a pattern `p`, implement regular expression matching with support for `'.'` and `'*'` where:_x000D_
_x000D_
*   `'.'` Matches any single character.​​​​_x000D_
*   `'*'` Matches zero or more of the preceding element._x000D_
_x000D_
The matching should cover the **entire** input string (not partial)._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** s =  ""aa "", p =  ""a ""_x000D_
**Output:** false_x000D_
**Explanation:**  ""a "" does not match the entire string  ""aa ""._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** s =  ""aa "", p =  ""a\* ""_x000D_
**Output:** true_x000D_
**Explanation:** '\*' means zero or more of the preceding element, 'a'. Therefore, by repeating 'a' once, it becomes  ""aa ""._x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** s =  ""ab "", p =  "".\* ""_x000D_
**Output:** true_x000D_
**Explanation:**  "".\* "" means  ""zero or more (\*) of any character (.) ""._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= s.length <= 20`_x000D_
*   `1 <= p.length <= 20`_x000D_
*   `s` contains only lowercase English letters._x000D_
*   `p` contains only lowercase English letters, `'.'`, and `'*'`._x000D_
*   It is guaranteed for each appearance of the character `'*'`, there will be a previous valid character to match."
